,Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
32,United Kingdom,Cayman Islands,Cayman Islands,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,156.8,84.20245398773007,89.30934579439251
33,Central African Republic,,Central African Republic,4.3,14.9,43.1,16.4,29.9,40.9,0.1,0.2,0.4,61.0,89.30934579439251
34,Chad,,Chad,4.5,18.9,61.2,31.7,95.0,14.6,0.0,0.4,0.3,12.0,89.30934579439251
35,United Kingdom,Channel Islands,Channel Islands,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,38.7,84.20245398773007,89.30934579439251
36,Chile,,Chile,8.5,58.5,34.8,1190.5,2002.0,0.0,1.1,0.9,59.3,99.0,100.0
37,China,,China,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,84.20245398773007,4.0
38,China,Hong Kong,"Hong Kong SAR, China",6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,27.8,84.20245398773007,89.30934579439251
39,China,Macau,"Macao SAR, China",6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
40,Colombia,,Colombia,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98.0
41,Comoros,,Comoros,7.6,14.6,73.1,59.0,115.8,10.8,0.2,0.9,37.937142857142874,87.3,89.30934579439251
42,Congo (Kinshasa),,"Congo, Dem. Rep.",3.9,12.3,37.4,20.5,34.5,43.4,0.1,0.5,0.2,24.6,89.30934579439251
43,Congo (Brazzaville),,"Congo, Rep.",4.6,42.3,49.7,70.4,263.3,3.3,0.1,1.7,0.2,96.0,89.30934579439251
44,Costa Rica,,Costa Rica,7.6,74.8,22.1,888.9,1248.5,0.3,1.1,0.8,25.5,100.0,91.0
45,Cote d'Ivoire,,Cote d'Ivoire,4.4,25.8,40.1,67.6,162.6,15.0,0.2,0.9,2.8,72.0,89.30934579439251
46,Croatia,,Croatia,7.2,78.2,15.4,884.5,1705.2,9.116766467065869,3.0,8.1,81.2,100.0,100.0
47,Cuba,,Cuba,12.2,89.6,10.3,970.6,2457.7,0.1,8.2,7.8,100.9,100.0,98.0
48,Cyprus,,Cyprus,6.9,42.2,44.9,1634.4,2270.8,1.2,2.0,5.3,84.4,100.0,86.0
49,Czechia,,Czech Republic,7.1,81.9,15.0,1321.6,2484.6,9.116766467065869,4.3,8.4,124.5,100.0,100.0
50,Denmark,,Denmark,10.4,84.1,13.7,5565.6,5093.0,9.116766467065869,4.5,10.3,69.0,100.0,98.0
51,Djibouti,,Djibouti,3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,84.20245398773007,89.30934579439251
52,Dominica,,Dominica,5.3,64.3,29.1,419.4,580.7,5.4,1.1,5.9,11.3,84.20245398773007,100.0
53,Dominican Republic,,Dominican Republic,6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,37.937142857142874,88.0,56.9
54,Ecuador,,Ecuador,8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82.0,80.0
55,Egypt,,"Egypt, Arab Rep.",4.6,29.3,62.0,131.0,516.3,1.0,0.8,1.4,50.1,99.4,95.0
56,El Salvador,,El Salvador,7.0,64.5,27.2,293.9,599.5,2.3,1.6,2.3,22.3,99.0,78.0
57,Equatorial Guinea,,Equatorial Guinea,3.4,23.5,72.8,281.4,838.7,1.2,0.4,0.5,37.937142857142874,54.0,89.30934579439251
58,Eritrea,,Eritrea,3.0,29.2,59.1,29.9,55.3,11.7,1.7232804232804229,4.139153439153439,0.4,84.20245398773007,89.30934579439251
59,Estonia,,Estonia,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65.0,100.0,100.0
60,Eswatini,,Eswatini,7.7,69.3,9.9,220.6,663.3,13.8,0.1,2.0,0.2,54.0,89.30934579439251
61,Ethiopia,,Ethiopia,4.0,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,89.30934579439251
62,Denmark,Faroe Islands,Faroe Islands,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
63,Fiji,,Fiji,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,84.20245398773007,100.0
64,Finland,,Finland,9.5,77.4,20.4,4117.3,4112.1,0.0,3.8,14.7,76.3,100.0,100.0
65,France,,France,11.5,82.9,9.8,4263.4,4782.3,0.0,3.2,9.7,58.6,100.0,100.0
66,France,French Polynesia,French Polynesia,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,32.6,84.20245398773007,89.30934579439251
67,Gabon,,Gabon,3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,37.937142857142874,89.6,89.30934579439251
68,Gambia,,"Gambia, The",4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72.0,89.30934579439251
69,Georgia,,Georgia,8.4,36.6,55.6,308.0,797.2,2.3,5.1,4.1,130.4,100.0,98.0
70,Germany,,Germany,11.1,84.7,12.4,4714.3,5463.3,9.116766467065869,4.2,13.2,108.0,100.0,100.0
71,Ghana,,Ghana,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,37.937142857142874,70.5,89.30934579439251
